Ticker,SimFinId,Date,Close,Volume,Shares Outstanding,Company Name,day_of_week,month,quarter,year,daily_return,ema_20,next_day_return,target_class,next_day_price
AAPL,111052,2019-05-06,52.12,129772452,18404300000.0,APPLE INC,0,5,2,2019,-1.5489233094068764,50.964608316739216,-2.6861089792785853,0,50.72
AAPL,111052,2019-05-07,50.72,155054792,18404300000.0,APPLE INC,1,5,2,2019,-2.6861089792785853,50.94131228657358,0.019716088328071788,1,50.73
AAPL,111052,2019-05-08,50.73,105358016,18404300000.0,APPLE INC,2,5,2,2019,0.019716088328071788,50.92118730689991,-1.084171101912078,0,50.18
AAPL,111052,2019-05-09,50.18,139634428,18404300000.0,APPLE INC,3,5,2,2019,-1.084171101912078,50.850598039576106,-1.7536867277799972,0,49.3
AAPL,111052,2019-05-10,49.3,164834848,18404300000.0,APPLE INC,4,5,2,2019,-1.7536867277799972,50.70292203580696,-5.821501014198778,0,46.43
AAPL,111052,2019-05-13,46.43,229722492,18404300000.0,APPLE INC,0,5,2,2019,-5.821501014198778,50.29597708001582,1.5722593150979902,1,47.16
AAPL,111052,2019-05-14,47.16,146118708,18404300000.0,APPLE INC,1,5,2,2019,1.5722593150979902,49.997312596204786,1.2086513994910948,1,47.73
AAPL,111052,2019-05-15,47.73,106178872,18404300000.0,APPLE INC,2,5,2,2019,1.2086513994910948,49.7813780632329,-0.43997485857949664,0,47.52
AAPL,111052,2019-05-16,47.52,132125456,18404300000.0,APPLE INC,3,5,2,2019,-0.43997485857949664,49.56600872387739,-0.5681818181818247,0,47.25
AAPL,111052,2019-05-17,47.25,131516360,18404300000.0,APPLE INC,4,5,2,2019,-0.5681818181818247,49.3454364644605,-3.132275132275126,0,45.77
AAPL,111052,2019-05-20,45.77,154449160,18404300000.0,APPLE INC,0,5,2,2019,-3.132275132275126,49.004918705940455,1.9226567620712156,1,46.65
AAPL,111052,2019-05-21,46.65,113459392,18404300000.0,APPLE INC,1,5,2,2019,1.9226567620712156,48.78064073394613,-2.0364415862808056,0,45.7
